Sweep over l=[600, 1000, 2000, 2500, 3000] and k=[100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]
Loading MSD set (n=5000)
Building RBF kernel matrix A
Nuclear norm of A: 5.000000e+03

--- Running l=600 ---
l=600, k=100: Time=1.3501s Error=1.113415e-06
l=600, k=200: Time=1.3501s Error=2.365506e-07
l=600, k=300: Time=1.3501s Error=1.363060e-07
l=600, k=400: Time=1.3501s Error=1.071328e-07
l=600, k=500: Time=1.3501s Error=9.635159e-08
l=600, k=600: Time=1.3501s Error=9.243578e-08
l=600, k=700: Time=1.3501s Error=9.243578e-08
l=600, k=800: Time=1.3501s Error=9.243578e-08
l=600, k=900: Time=1.3501s Error=9.243578e-08
l=600, k=1000: Time=1.3501s Error=9.243578e-08

--- Running l=1000 ---
l=1000, k=100: Time=2.8587s Error=1.095063e-06
l=1000, k=200: Time=2.8587s Error=1.995176e-07
l=1000, k=300: Time=2.8587s Error=8.962674e-08
l=1000, k=400: Time=2.8587s Error=5.422870e-08
l=1000, k=500: Time=2.8587s Error=3.889075e-08
l=1000, k=600: Time=2.8587s Error=3.140000e-08
l=1000, k=700: Time=2.8587s Error=2.744963e-08
l=1000, k=800: Time=2.8587s Error=2.530050e-08
l=1000, k=900: Time=2.8587s Error=2.414091e-08
l=1000, k=1000: Time=2.8587s Error=2.358639e-08

--- Running l=2000 ---
l=2000, k=100: Time=10.5439s Error=1.091508e-06
l=2000, k=200: Time=10.5439s Error=1.915659e-07
l=2000, k=300: Time=10.5439s Error=7.897921e-08
l=2000, k=400: Time=10.5439s Error=4.160305e-08
l=2000, k=500: Time=10.5439s Error=2.466977e-08
l=2000, k=600: Time=10.5439s Error=1.588775e-08
l=2000, k=700: Time=10.5439s Error=1.084256e-08
l=2000, k=800: Time=10.5439s Error=7.782003e-09
l=2000, k=900: Time=10.5439s Error=5.845367e-09
l=2000, k=1000: Time=10.5439s Error=4.590267e-09

--- Running l=2500 ---
l=2500, k=100: Time=17.4167s Error=1.091351e-06
l=2500, k=200: Time=17.4167s Error=1.911719e-07
l=2500, k=300: Time=17.4167s Error=7.843728e-08
l=2500, k=400: Time=17.4167s Error=4.094823e-08
l=2500, k=500: Time=17.4167s Error=2.392439e-08
l=2500, k=600: Time=17.4167s Error=1.506621e-08
l=2500, k=700: Time=17.4167s Error=9.953798e-09
l=2500, k=800: Time=17.4167s Error=6.832640e-09
l=2500, k=900: Time=17.4167s Error=4.842086e-09
l=2500, k=1000: Time=17.4167s Error=3.538616e-09

--- Running l=3000 ---
l=3000, k=100: Time=26.9259s Error=1.091331e-06
l=3000, k=200: Time=26.9259s Error=1.911227e-07
l=3000, k=300: Time=26.9259s Error=7.836626e-08
l=3000, k=400: Time=26.9259s Error=4.086015e-08
l=3000, k=500: Time=26.9259s Error=2.382118e-08
l=3000, k=600: Time=26.9259s Error=1.494944e-08
l=3000, k=700: Time=26.9259s Error=9.824677e-09
l=3000, k=800: Time=26.9259s Error=6.692483e-09
l=3000, k=900: Time=26.9259s Error=4.692327e-09
l=3000, k=1000: Time=26.9259s Error=3.380087e-09

Saved results and plots to results/sequential_4146888/20260122_021439
