n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
10000,100000.0,500,200,mnist,gaussian,1.0748188495635986,2.406684839231786e-05,0.7450580596923828
10000,100000.0,500,400,mnist,gaussian,1.0748188495635986,5.818987065361135e-06,0.7450580596923828
10000,100000.0,500,600,mnist,gaussian,1.0748188495635986,4.296070650342482e-06,0.7450580596923828
10000,100000.0,500,800,mnist,gaussian,1.0748188495635986,4.296070650342482e-06,0.7450580596923828
10000,100000.0,500,1000,mnist,gaussian,1.0748188495635986,4.296070650342482e-06,0.7450580596923828
10000,100000.0,1000,200,mnist,gaussian,3.812776803970337,2.2530327385040297e-05,0.7450580596923828
10000,100000.0,1000,400,mnist,gaussian,3.812776803970337,2.949716560645167e-06,0.7450580596923828
10000,100000.0,1000,600,mnist,gaussian,3.812776803970337,3.393799507018875e-07,0.7450580596923828
10000,100000.0,1000,800,mnist,gaussian,3.812776803970337,2.7878651399066647e-07,0.7450580596923828
10000,100000.0,1000,1000,mnist,gaussian,3.812776803970337,2.697778259014354e-07,0.7450580596923828
10000,100000.0,2000,200,mnist,gaussian,14.317126512527466,2.2485177605159616e-05,0.7450580596923828
10000,100000.0,2000,400,mnist,gaussian,14.317126512527466,2.8593595394356235e-06,0.7450580596923828
10000,100000.0,2000,600,mnist,gaussian,14.317126512527466,2.0673957827578036e-07,0.7450580596923828
10000,100000.0,2000,800,mnist,gaussian,14.317126512527466,1.2581826821031163e-07,0.7450580596923828
10000,100000.0,2000,1000,mnist,gaussian,14.317126512527466,1.0760003416247819e-07,0.7450580596923828
