n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
10000,100000.0,500,200,msd,gaussian,1.0944786071777344,3.254137107359922e-07,0.7450580596923828
10000,100000.0,500,400,msd,gaussian,1.0944786071777344,1.566153032318943e-07,0.7450580596923828
10000,100000.0,500,600,msd,gaussian,1.0944786071777344,1.4391535888291284e-07,0.7450580596923828
10000,100000.0,500,800,msd,gaussian,1.0944786071777344,1.4391535888291284e-07,0.7450580596923828
10000,100000.0,500,1000,msd,gaussian,1.0944786071777344,1.4391535888291284e-07,0.7450580596923828
10000,100000.0,1000,200,msd,gaussian,3.840184450149536,2.765850641537504e-07,0.7450580596923828
10000,100000.0,1000,400,msd,gaussian,3.840184450149536,7.643080830310853e-08,0.7450580596923828
10000,100000.0,1000,600,msd,gaussian,3.840184450149536,4.1093344174457956e-08,0.7450580596923828
10000,100000.0,1000,800,msd,gaussian,3.840184450149536,3.070212570543974e-08,0.7450580596923828
10000,100000.0,1000,1000,msd,gaussian,3.840184450149536,2.7428407628482098e-08,0.7450580596923828
10000,100000.0,2000,200,msd,gaussian,14.284362554550171,2.714241745269347e-07,0.7450580596923828
10000,100000.0,2000,400,msd,gaussian,14.284362554550171,6.658335166165163e-08,0.7450580596923828
10000,100000.0,2000,600,msd,gaussian,14.284362554550171,2.7367790672451655e-08,0.7450580596923828
10000,100000.0,2000,800,msd,gaussian,14.284362554550171,1.3948460592682411e-08,0.7450580596923828
10000,100000.0,2000,1000,msd,gaussian,14.284362554550171,8.184621590402955e-09,0.7450580596923828
