timestamp,job_id,dataset,n,c,sketch,P,q,l,k,t_total,t_parallel_kernel,t_sketch,t_C_matmul,t_C_reduce,t_B_matmul,t_B_allreduce,t_C_gather,t_factorization,rel_error
20260122_120009,4152304,msd,10000,10000.0,gaussian,1,1,3000,1000,46.517214401,16.776059771000003,1.0470336480000002,12.786493697000001,0.08780249500000004,3.8784375980000014,0.023325981000002827,0.07878570699999798,28.447244691999998,nan
20260122_120115,4152304,msd,10000,10000.0,gaussian,4,2,3000,1000,45.851142197,10.080033199999999,0.627129669,6.164610294,0.09212976199999989,3.695535036999999,0.127758107,0.10792744799999987,34.772412814999996,nan
20260122_120218,4152304,msd,10000,10000.0,gaussian,9,3,3000,1000,41.999716213,5.411478773,0.43961827700000006,2.739996238,0.08475434300000018,2.449375421,0.13735277099999976,0.08941908200000004,35.793741388,nan
20260122_120319,4152304,msd,10000,10000.0,gaussian,16,4,3000,1000,40.168434808,3.668774107,0.325035441,1.568852495,0.10557954999999986,1.8645793150000003,0.129762747,0.0994634379999999,35.834944055,nan
20260122_120429,4152304,msd,10000,10000.0,gaussian,36,6,3000,1000,38.943183981,2.418097476,0.235666702,0.756364927,0.10184674500000002,1.3366648269999999,0.223220977,0.0986295479999999,35.905497270000005,nan
20260122_120538,4152304,msd,10000,10000.0,gaussian,64,8,3000,1000,38.815864068,1.98539883,0.19173164900000003,0.494702733,0.1382545249999999,1.135280626,0.21716094600000013,0.17429199800000017,36.111618797,nan
20260122_120652,4152304,msd,10000,100000.0,gaussian,1,1,3000,1000,46.187951022,16.746912853,0.945599291,12.788107372,0.08945559800000069,3.845343181999999,0.02400670100000113,0.078773549000001,28.244163285000003,nan
20260122_121037,4152304,msd,10000,100000.0,gaussian,4,2,3000,1000,45.647434081,10.07589373,0.62899566,6.167495066,0.08982678400000044,3.6935519909999996,0.12501988900000072,0.10377800100000023,34.563262138,nan
20260122_121150,4152304,msd,10000,100000.0,gaussian,9,3,3000,1000,42.056201465,5.456926301,0.47946610500000003,2.7429646819999998,0.11630817599999999,2.454863114,0.14279032900000033,0.09234532500000014,35.794349227,nan
20260122_121301,4152304,msd,10000,100000.0,gaussian,16,4,3000,1000,40.355758313,3.6748002529999995,0.333571453,1.566050438,0.10186816900000006,1.8674394300000001,0.1394422159999995,0.09807562700000005,36.007012897,nan
20260122_121414,4152304,msd,10000,100000.0,gaussian,36,6,3000,1000,39.002874978,2.3848071729999996,0.24427510999999996,0.75884058,0.10273031700000002,1.336260585,0.18697569099999978,0.0974280799999998,35.992664714,nan
20260122_121528,4152304,msd,10000,100000.0,gaussian,64,8,3000,1000,38.973853901,1.9769407529999998,0.22574426299999997,0.48371565000000005,0.13925942000000002,1.130195777,0.2237699059999998,0.09161912900000013,36.291240979,nan
20260122_121642,4152304,msd,10000,10000.0,srht,1,1,3000,1000,48.871166376,16.640115325,2.8416181860000003,12.707859391,0.08721415299999968,3.822201324,0.022840457000000924,0.07814636500000205,29.141171999999997,nan
20260122_121803,4152304,msd,10000,10000.0,srht,4,2,3000,1000,47.849274702,10.234452893,2.0365412949999997,6.278550014,0.09354307799999972,3.7728274279999994,0.08953237300000083,0.10883308000000014,35.126818615000005,nan
20260122_121920,4152304,msd,10000,10000.0,srht,9,3,3000,1000,42.748468828,5.426589888000001,0.895439462,2.750178307,0.08405821499999977,2.4581058560000004,0.13424751000000068,0.0909577860000006,36.083245454,nan
