n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
5000,100000.0,600,100,msd,gaussian,1.3367679119110107,1.1010132353856117e-06,0.1862645149230957
5000,100000.0,600,200,msd,gaussian,1.3367679119110107,2.0990652593463233e-07,0.1862645149230957
5000,100000.0,600,300,msd,gaussian,1.3367679119110107,1.0489725223054417e-07,0.1862645149230957
5000,100000.0,600,400,msd,gaussian,1.3367679119110107,7.381139710522601e-08,0.1862645149230957
5000,100000.0,600,500,msd,gaussian,1.3367679119110107,6.201375379366261e-08,0.1862645149230957
5000,100000.0,600,600,msd,gaussian,1.3367679119110107,5.753001715839386e-08,0.1862645149230957
5000,100000.0,600,700,msd,gaussian,1.3367679119110107,5.753001715839386e-08,0.1862645149230957
5000,100000.0,600,800,msd,gaussian,1.3367679119110107,5.753001715839386e-08,0.1862645149230957
5000,100000.0,600,900,msd,gaussian,1.3367679119110107,5.753001715839386e-08,0.1862645149230957
5000,100000.0,600,1000,msd,gaussian,1.3367679119110107,5.753001715839386e-08,0.1862645149230957
5000,100000.0,1000,100,msd,gaussian,2.863307476043701,1.0926599293685508e-06,0.1862645149230957
5000,100000.0,1000,200,msd,gaussian,2.863307476043701,1.9380600308246267e-07,0.1862645149230957
5000,100000.0,1000,300,msd,gaussian,2.863307476043701,8.234883017003159e-08,0.1862645149230957
5000,100000.0,1000,400,msd,gaussian,2.863307476043701,4.6072599079986135e-08,0.1862645149230957
5000,100000.0,1000,500,msd,gaussian,2.863307476043701,3.015772580794543e-08,0.1862645149230957
5000,100000.0,1000,600,msd,gaussian,2.863307476043701,2.2296825388321727e-08,0.1862645149230957
5000,100000.0,1000,700,msd,gaussian,2.863307476043701,1.808663752941772e-08,0.1862645149230957
5000,100000.0,1000,800,msd,gaussian,2.863307476043701,1.5761703140208166e-08,0.1862645149230957
5000,100000.0,1000,900,msd,gaussian,2.863307476043701,1.4501476194279136e-08,0.1862645149230957
5000,100000.0,1000,1000,msd,gaussian,2.863307476043701,1.3873926605388184e-08,0.1862645149230957
5000,100000.0,2000,100,msd,gaussian,10.013429164886475,1.091353362491804e-06,0.1862645149230957
5000,100000.0,2000,200,msd,gaussian,10.013429164886475,1.9115587898454232e-07,0.1862645149230957
5000,100000.0,2000,300,msd,gaussian,10.013429164886475,7.842174401386474e-08,0.1862645149230957
5000,100000.0,2000,400,msd,gaussian,10.013429164886475,4.094042354910198e-08,0.1862645149230957
5000,100000.0,2000,500,msd,gaussian,10.013429164886475,2.3928736788458846e-08,0.1862645149230957
5000,100000.0,2000,600,msd,gaussian,10.013429164886475,1.5083984354187945e-08,0.1862645149230957
5000,100000.0,2000,700,msd,gaussian,10.013429164886475,9.987698314933331e-09,0.1862645149230957
5000,100000.0,2000,800,msd,gaussian,10.013429164886475,6.8835890319415375e-09,0.1862645149230957
5000,100000.0,2000,900,msd,gaussian,10.013429164886475,4.9111928191228734e-09,0.1862645149230957
5000,100000.0,2000,1000,msd,gaussian,10.013429164886475,3.6266004302256416e-09,0.1862645149230957
5000,100000.0,2500,100,msd,gaussian,16.453476190567017,1.091317591732852e-06,0.1862645149230957
5000,100000.0,2500,200,msd,gaussian,16.453476190567017,1.9108387757520644e-07,0.1862645149230957
5000,100000.0,2500,300,msd,gaussian,16.453476190567017,7.831329429842664e-08,0.1862645149230957
5000,100000.0,2500,400,msd,gaussian,16.453476190567017,4.079663197457759e-08,0.1862645149230957
5000,100000.0,2500,500,msd,gaussian,16.453476190567017,2.3749281567782023e-08,0.1862645149230957
5000,100000.0,2500,600,msd,gaussian,16.453476190567017,1.4870345959129937e-08,0.1862645149230957
5000,100000.0,2500,700,msd,gaussian,16.453476190567017,9.739720505999855e-09,0.1862645149230957
5000,100000.0,2500,800,msd,gaussian,16.453476190567017,6.6020907199068725e-09,0.1862645149230957
5000,100000.0,2500,900,msd,gaussian,16.453476190567017,4.597592677898253e-09,0.1862645149230957
5000,100000.0,2500,1000,msd,gaussian,16.453476190567017,3.2814531197908787e-09,0.1862645149230957
5000,100000.0,3000,100,msd,gaussian,24.927661418914795,1.0913090300069279e-06,0.1862645149230957
5000,100000.0,3000,200,msd,gaussian,24.927661418914795,1.9106689696330245e-07,0.1862645149230957
5000,100000.0,3000,300,msd,gaussian,24.927661418914795,7.828777543835223e-08,0.1862645149230957
5000,100000.0,3000,400,msd,gaussian,24.927661418914795,4.076264878398568e-08,0.1862645149230957
5000,100000.0,3000,500,msd,gaussian,24.927661418914795,2.3706951649769607e-08,0.1862645149230957
5000,100000.0,3000,600,msd,gaussian,24.927661418914795,1.4819535817391438e-08,0.1862645149230957
5000,100000.0,3000,700,msd,gaussian,24.927661418914795,9.680528241047001e-09,0.1862645149230957
5000,100000.0,3000,800,msd,gaussian,24.927661418914795,6.534578117264121e-09,0.1862645149230957
5000,100000.0,3000,900,msd,gaussian,24.927661418914795,4.521743386847568e-09,0.1862645149230957
5000,100000.0,3000,1000,msd,gaussian,24.927661418914795,3.1974998234729776e-09,0.1862645149230957
