n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
5000,100.0,600,100,mnist,gaussian,1.4526302814483643,0.9799999908450667,0.1862645149230957
5000,100.0,600,200,mnist,gaussian,1.4526302814483643,0.9599999908450633,0.1862645149230957
5000,100.0,600,300,mnist,gaussian,1.4526302814483643,0.9399999908450632,0.1862645149230957
5000,100.0,600,400,mnist,gaussian,1.4526302814483643,0.9199999908450635,0.1862645149230957
5000,100.0,600,500,mnist,gaussian,1.4526302814483643,0.8999999908450703,0.1862645149230957
5000,100.0,600,600,mnist,gaussian,1.4526302814483643,0.8799999999464547,0.1862645149230957
5000,100.0,600,700,mnist,gaussian,1.4526302814483643,0.8799999999464547,0.1862645149230957
5000,100.0,600,800,mnist,gaussian,1.4526302814483643,0.8799999999464547,0.1862645149230957
5000,100.0,600,900,mnist,gaussian,1.4526302814483643,0.8799999999464547,0.1862645149230957
5000,100.0,600,1000,mnist,gaussian,1.4526302814483643,0.8799999999464547,0.1862645149230957
5000,100.0,1000,100,mnist,gaussian,2.8234052658081055,0.9799999844570543,0.1862645149230957
5000,100.0,1000,200,mnist,gaussian,2.8234052658081055,0.9599999844570469,0.1862645149230957
5000,100.0,1000,300,mnist,gaussian,2.8234052658081055,0.9399999844570471,0.1862645149230957
5000,100.0,1000,400,mnist,gaussian,2.8234052658081055,0.9199999844570471,0.1862645149230957
5000,100.0,1000,500,mnist,gaussian,2.8234052658081055,0.8999999844570471,0.1862645149230957
5000,100.0,1000,600,mnist,gaussian,2.8234052658081055,0.8799999844570473,0.1862645149230957
5000,100.0,1000,700,mnist,gaussian,2.8234052658081055,0.8599999844570473,0.1862645149230957
5000,100.0,1000,800,mnist,gaussian,2.8234052658081055,0.8399999844570473,0.1862645149230957
5000,100.0,1000,900,mnist,gaussian,2.8234052658081055,0.8199999844570617,0.1862645149230957
5000,100.0,1000,1000,mnist,gaussian,2.8234052658081055,0.8000000000522836,0.1862645149230957
5000,100.0,2000,100,mnist,gaussian,9.72228741645813,0.9799999693080268,0.1862645149230957
5000,100.0,2000,200,mnist,gaussian,9.72228741645813,0.9599999693080106,0.1862645149230957
5000,100.0,2000,300,mnist,gaussian,9.72228741645813,0.9399999693080107,0.1862645149230957
5000,100.0,2000,400,mnist,gaussian,9.72228741645813,0.9199999693080106,0.1862645149230957
5000,100.0,2000,500,mnist,gaussian,9.72228741645813,0.8999999693080106,0.1862645149230957
5000,100.0,2000,600,mnist,gaussian,9.72228741645813,0.8799999693080106,0.1862645149230957
5000,100.0,2000,700,mnist,gaussian,9.72228741645813,0.8599999693080106,0.1862645149230957
5000,100.0,2000,800,mnist,gaussian,9.72228741645813,0.8399999693080108,0.1862645149230957
5000,100.0,2000,900,mnist,gaussian,9.72228741645813,0.819999969308011,0.1862645149230957
5000,100.0,2000,1000,mnist,gaussian,9.72228741645813,0.799999969308011,0.1862645149230957
5000,100.0,2500,100,mnist,gaussian,15.687614679336548,0.9799999610740157,0.1862645149230957
5000,100.0,2500,200,mnist,gaussian,15.687614679336548,0.9599999610739949,0.1862645149230957
5000,100.0,2500,300,mnist,gaussian,15.687614679336548,0.939999961073995,0.1862645149230957
5000,100.0,2500,400,mnist,gaussian,15.687614679336548,0.919999961073995,0.1862645149230957
5000,100.0,2500,500,mnist,gaussian,15.687614679336548,0.8999999610739949,0.1862645149230957
5000,100.0,2500,600,mnist,gaussian,15.687614679336548,0.8799999610739951,0.1862645149230957
5000,100.0,2500,700,mnist,gaussian,15.687614679336548,0.8599999610739951,0.1862645149230957
5000,100.0,2500,800,mnist,gaussian,15.687614679336548,0.8399999610739949,0.1862645149230957
5000,100.0,2500,900,mnist,gaussian,15.687614679336548,0.8199999610739951,0.1862645149230957
5000,100.0,2500,1000,mnist,gaussian,15.687614679336548,0.7999999610739953,0.1862645149230957
5000,100.0,3000,100,mnist,gaussian,23.61779522895813,0.9799999535412106,0.1862645149230957
5000,100.0,3000,200,mnist,gaussian,23.61779522895813,0.9599999535411855,0.1862645149230957
5000,100.0,3000,300,mnist,gaussian,23.61779522895813,0.9399999535411855,0.1862645149230957
5000,100.0,3000,400,mnist,gaussian,23.61779522895813,0.9199999535411855,0.1862645149230957
5000,100.0,3000,500,mnist,gaussian,23.61779522895813,0.8999999535411854,0.1862645149230957
5000,100.0,3000,600,mnist,gaussian,23.61779522895813,0.8799999535411854,0.1862645149230957
5000,100.0,3000,700,mnist,gaussian,23.61779522895813,0.8599999535411854,0.1862645149230957
5000,100.0,3000,800,mnist,gaussian,23.61779522895813,0.8399999535411856,0.1862645149230957
5000,100.0,3000,900,mnist,gaussian,23.61779522895813,0.8199999535411856,0.1862645149230957
5000,100.0,3000,1000,mnist,gaussian,23.61779522895813,0.7999999535411857,0.1862645149230957
