n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
5000,10000.0,600,100,mnist,srht,1.320253849029541,0.007108442592043988,0.1862645149230957
5000,10000.0,600,200,mnist,srht,1.320253849029541,0.004074952075496971,0.1862645149230957
5000,10000.0,600,300,mnist,srht,1.320253849029541,0.0030697741615798575,0.1862645149230957
5000,10000.0,600,400,mnist,srht,1.320253849029541,0.002637544540016403,0.1862645149230957
5000,10000.0,600,500,mnist,srht,1.320253849029541,0.0024566390162256485,0.1862645149230957
5000,10000.0,600,600,mnist,srht,1.320253849029541,0.002380570809883644,0.1862645149230957
5000,10000.0,600,700,mnist,srht,1.320253849029541,0.002380570809883644,0.1862645149230957
5000,10000.0,600,800,mnist,srht,1.320253849029541,0.002380570809883644,0.1862645149230957
5000,10000.0,600,900,mnist,srht,1.320253849029541,0.002380570809883644,0.1862645149230957
5000,10000.0,600,1000,mnist,srht,1.320253849029541,0.002380570809883644,0.1862645149230957
5000,10000.0,1000,100,mnist,srht,2.8977527618408203,0.006856729794061508,0.1862645149230957
5000,10000.0,1000,200,mnist,srht,2.8977527618408203,0.003627764397420662,0.1862645149230957
5000,10000.0,1000,300,mnist,srht,2.8977527618408203,0.0024662002775920214,0.1862645149230957
5000,10000.0,1000,400,mnist,srht,2.8977527618408203,0.0019049138517509207,0.1862645149230957
5000,10000.0,1000,500,mnist,srht,2.8977527618408203,0.001628702343274685,0.1862645149230957
5000,10000.0,1000,600,mnist,srht,2.8977527618408203,0.0014841045944399582,0.1862645149230957
5000,10000.0,1000,700,mnist,srht,2.8977527618408203,0.0013992912501134822,0.1862645149230957
5000,10000.0,1000,800,mnist,srht,2.8977527618408203,0.0013443249379613037,0.1862645149230957
5000,10000.0,1000,900,mnist,srht,2.8977527618408203,0.001307287675786779,0.1862645149230957
5000,10000.0,1000,1000,mnist,srht,2.8977527618408203,0.001282998889493632,0.1862645149230957
5000,10000.0,2000,100,mnist,srht,10.34575891494751,0.0067560184684636905,0.1862645149230957
5000,10000.0,2000,200,mnist,srht,10.34575891494751,0.003435485375595116,0.1862645149230957
5000,10000.0,2000,300,mnist,srht,10.34575891494751,0.002192206106588395,0.1862645149230957
5000,10000.0,2000,400,mnist,srht,10.34575891494751,0.0015576148242204201,0.1862645149230957
5000,10000.0,2000,500,mnist,srht,10.34575891494751,0.0012193757001098076,0.1862645149230957
5000,10000.0,2000,600,mnist,srht,10.34575891494751,0.001026067128627081,0.1862645149230957
5000,10000.0,2000,700,mnist,srht,10.34575891494751,0.0009026729758133282,0.1862645149230957
5000,10000.0,2000,800,mnist,srht,10.34575891494751,0.0008160888572909954,0.1862645149230957
5000,10000.0,2000,900,mnist,srht,10.34575891494751,0.0007516494191743874,0.1862645149230957
5000,10000.0,2000,1000,mnist,srht,10.34575891494751,0.0007016287738700765,0.1862645149230957
5000,10000.0,2500,100,mnist,srht,17.10292911529541,0.006745049942193648,0.1862645149230957
5000,10000.0,2500,200,mnist,srht,17.10292911529541,0.003413783822718696,0.1862645149230957
5000,10000.0,2500,300,mnist,srht,17.10292911529541,0.0021598507043568355,0.1862645149230957
5000,10000.0,2500,400,mnist,srht,17.10292911529541,0.001515030173594681,0.1862645149230957
5000,10000.0,2500,500,mnist,srht,17.10292911529541,0.0011673447646227035,0.1862645149230957
5000,10000.0,2500,600,mnist,srht,17.10292911529541,0.0009654731590147484,0.1862645149230957
5000,10000.0,2500,700,mnist,srht,17.10292911529541,0.0008347550010371316,0.1862645149230957
5000,10000.0,2500,800,mnist,srht,17.10292911529541,0.0007416405310601735,0.1862645149230957
5000,10000.0,2500,900,mnist,srht,17.10292911529541,0.0006714894558489341,0.1862645149230957
5000,10000.0,2500,1000,mnist,srht,17.10292911529541,0.0006163290586778565,0.1862645149230957
5000,10000.0,3000,100,mnist,srht,25.976895093917847,0.006739110371949281,0.1862645149230957
5000,10000.0,3000,200,mnist,srht,25.976895093917847,0.0034021299963546874,0.1862645149230957
5000,10000.0,3000,300,mnist,srht,25.976895093917847,0.002142529743124927,0.1862645149230957
5000,10000.0,3000,400,mnist,srht,25.976895093917847,0.0014921114803447529,0.1862645149230957
5000,10000.0,3000,500,mnist,srht,25.976895093917847,0.0011390413517837,0.1862645149230957
5000,10000.0,3000,600,mnist,srht,25.976895093917847,0.0009322430033402533,0.1862645149230957
5000,10000.0,3000,700,mnist,srht,25.976895093917847,0.000797154478071613,0.1862645149230957
5000,10000.0,3000,800,mnist,srht,25.976895093917847,0.0007000956161728102,0.1862645149230957
5000,10000.0,3000,900,mnist,srht,25.976895093917847,0.0006262834132756028,0.1862645149230957
5000,10000.0,3000,1000,mnist,srht,25.976895093917847,0.0005677808379366048,0.1862645149230957
